Date,AdjClose
2001-01-03,0.027200225312626003
2001-01-04,0.008904778025777382
2001-01-05,-0.007117503229856492
2001-01-08,-0.023487981307213524
2001-01-09,0.013437609378675663
2001-01-10,0.062236125099108364
2001-01-11,0.0
2001-01-12,0.018472364357571713
2001-01-17,-0.023334392061773013
2001-01-18,0.026623901552893514
2001-01-19,0.05276994083404407
2001-01-22,-0.003120065030945529
2001-01-23,-0.07897556893534086
2001-01-24,-0.017741884989873835
2001-01-25,0.010614788931747832
2001-01-26,0.014203823029186324
2001-01-29,-0.02447443710487196
2001-01-30,0.0
2001-01-31,-0.012465466121793778
2001-02-01,0.03761120234553106
2001-02-02,0.04751101622809939
2001-02-05,-0.02429269256904476
2001-02-06,-0.004930166107858458
2001-02-07,0.02762160936121072
2001-02-08,0.011472337425276535
2001-02-09,-0.0162916881186268
2001-02-12,-0.01623412328898821
2001-02-13,-0.006897678963993403
2001-02-14,-0.019637841928747513
2001-02-15,-0.032453779571961494
2001-02-16,0.01242255472077991
2001-02-21,-0.001050271425972582
2001-02-22,0.009412689495627014
2001-02-23,0.006226239415098256
2001-02-26,-0.019499189889690793
2001-02-27,-0.011315537592442304
2001-02-28,-0.025208428370172786
2001-03-01,0.008353053834175395
2001-03-02,0.006848107497875233
2001-03-05,0.026932882359588017
2001-03-06,-0.010544948512304586
2001-03-07,0.022708469247815888
2001-03-08,-0.016017090051501537
2001-03-09,-0.024517163784449014
2001-03-12,0.0071685254498361495
2001-03-13,-0.019838305789792177
2001-03-14,-0.037110008273920414
2001-03-15,0.007532954500362177
2001-03-16,0.0018744522475331316
2001-03-19,-0.01966784237763264
2001-03-20,-0.010752791776261983
2001-03-21,0.034158881497885485
2001-03-22,-0.010502684885715485
2001-03-23,0.028987500243214726
2001-03-26,0.005843698362341776
2001-03-27,0.010505476269225156
2001-03-28,-0.055569851154810834
2001-03-29,0.0038022859497388595
2001-03-30,0.0018957351648989373
2001-04-02,-0.03116235998057304
2001-04-03,0.02317604653043448
2001-04-04,0.034893803243218446
2001-04-05,0.005148926323036207
2001-04-06,-0.007363840480660411
2001-04-09,0.010294245508077449
2001-04-10,0.040851255247971174
2001-04-11,-0.010589580073240512
2001-04-12,0.0024809511219157088
2001-04-17,-0.01928872673332549
2001-04-18,-0.010322177245758457
2001-04-19,-0.0043026598414837025
2001-04-20,-0.019960705905647025
2001-04-23,0.012024192528671485
2001-04-24,-0.02753983383565073
2001-04-25,0.015882143038532526
2001-04-26,0.04127626873307788
2001-04-27,-0.005995468391284398
2001-04-30,0.006698385819172259
2001-05-01,0.01672519823291596
2001-05-02,-0.04018877103221952
2001-05-03,0.02311221099635663
2001-05-04,-0.003168458796867224
2001-05-07,-0.021023435606148944
2001-05-08,-0.013778354553397154
2001-05-09,0.03020729550008694
2001-05-10,0.01022035328069748
2001-05-11,0.0010513055296534901
2001-05-14,0.005588558226153673
2001-05-15,0.009360477590633742
2001-05-16,-0.004149348896777205
2001-05-17,0.0017309680324957277
2001-05-18,0.034005316613602066
2001-05-21,0.002337620032594856
2001-05-22,-0.008037551642442686
2001-05-23,-0.005394483749355583
2001-05-24,-0.040357261416557044
2001-05-25,-0.0010565593702822618
2001-05-30,-0.003845521324276735
2001-05-31,-0.006324617006487454
2001-06-01,-0.015630904112176047
2001-06-04,0.007135206995443788
2001-06-05,0.0039028256725122112
2001-06-06,-0.018585274378375427
2001-06-07,0.0010817019457776134
2001-06-08,0.023153304974716793
2001-06-11,0.022285079224696247
2001-06-12,0.004809318702783116
2001-06-13,-0.011720230677891408
2001-06-14,0.0069109119751082915
2001-06-15,-0.018419321467276095
2001-06-18,-0.03425240362329829
2001-06-19,-0.002544031947133707
2001-06-20,-0.03631373436197194
2001-06-21,0.0022615539654533556
2001-06-22,0.010114377479902625
2001-06-25,0.015532856671720552
2001-06-26,-0.009957670329643342
2001-06-27,-0.05211291152092956
2001-06-28,-0.0019543488729776293
2001-06-29,0.026637398651930155
2001-07-02,-0.011494340890090271
2001-07-03,0.011113315928345635
2001-07-06,0.04309915703342915
2001-07-09,-0.022223101336287243
2001-07-10,-0.0036310860520401
2001-07-11,-0.01391960177982332
2001-07-12,-0.011500850193953749
2001-07-13,-0.007866644948448798
2001-07-16,-0.020133671931215513
2001-07-17,-0.018981744020617697
2001-07-18,-0.0269537131003732
2001-07-19,-0.007662792082961722
2001-07-20,0.035398366051937025
2001-07-23,0.020499692521371404
2001-07-24,0.007247714350770096
2001-07-25,0.019944255059642035
2001-07-26,-0.00410678195265346
2001-07-27,0.010790802381225095
2001-07-30,-0.014538970257846007
2001-07-31,-0.010570087286835061
2001-08-01,0.015813582544889737
2001-08-02,0.03451146525457016
2001-08-03,-0.0032531386000380635
2001-08-06,0.004335230699891834
2001-08-07,0.00718397473311061
2001-08-08,-0.014419860008467289
2001-08-09,0.003624433108689651
2001-08-10,0.014724633598062642
2001-08-13,-0.008233409822783866
2001-08-14,0.006806402776720066
2001-08-15,-0.01619617941102991
2001-08-16,-0.003999205475575529
2001-08-17,-0.030327842111204983
2001-08-20,0.020443046448790803
2001-08-21,0.024351557650295508
2001-08-22,-0.05460592808621767
2001-08-23,0.00981132398713136
2001-08-24,0.010087924333586518
2001-08-27,-0.00858694841387031
2001-08-28,0.01857408524433346
2001-08-29,-0.004426455114343142
2001-08-30,-0.01865725830074938
2001-08-31,0.02418730004349312
2001-09-05,0.0007424276372494099
2001-09-06,0.02310753790439879
2001-09-07,0.0161845284876021
2001-09-10,-0.014373298109977561
2001-09-17,-0.024684215233431672
